Team2,Team2_Batters,Team2_Allrounders,Team2_Bowlers,Team2_RH_Bat,Team2_LH_Bat,Team2_Fast,Team2_Spin
West Indies,4,5,2,5,6,6,3
New Zealand,4,4,3,8,3,6,4
Bangladesh,5,4,2,5,6,3,7
Pakistan,6,3,2,8,3,3,8
Pakistan,6,2,3,8,3,3,8
Pakistan,6,2,3,7,4,3,8
Sri Lanka,4,3,4,8,3,5,5
England,5,2,4,8,3,8,2
England,5,3,3,8,3,7,2
New Zealand,4,3,4,9,2,6,4
Bangladesh,5,3,3,7,4,4,4
Afghanistan,5,3,3,8,3,5,5
West Indies,5,3,3,7,4,6,1
West Indies,5,4,2,8,3,6,1
West Indies,5,3,3,6,5,5,3
Sri Lanka,3,5,3,8,3,5,5
New Zealand,5,3,3,8,3,5,5
England,5,3,3,8,3,6,3
South Africa,4,3,4,7,4,5,5
South Africa,5,2,4,7,4,5,5
Australia,5,1,5,6,5,5,5
South Africa,6,1,4,8,3,5,5
Sri Lanka,3,6,2,8,3,6,4
England,5,3,3,8,3,6,3
Australia,4,2,5,7,4,4,6
West Indies,5,4,2,7,4,6,2
Australia,4,3,4,7,4,5,6
India,5,2,4,8,3,5,4
South Africa,4,3,4,9,2,4,7
Australia,3,4,4,9,2,6,4
Australia,3,4,4,9,2,6,4
New Zealand,5,2,4,8,3,5,5
New Zealand,5,2,4,8,3,5,5
West Indies,3,5,3,7,4,6,4
England,5,2,4,7,4,7,2
England,5,2,4,7,4,7,2
Bangladesh,4,4,3,4,7,4,5
Bangladesh,4,4,3,4,7,4,5
Bangladesh,5,2,4,4,7,4,6
Sri Lanka,4,4,3,8,3,4,5
West Indies,3,6,2,7,4,5,4
West Indies,4,5,2,7,4,6,3
South Africa,6,1,4,7,4,4,6
West Indies,4,4,3,5,6,6,3
Australia,4,3,4,7,4,7,3
Australia,4,3,4,7,4,7,3
West Indies,4,3,4,5,6,4,5
England,4,5,2,7,4,6,4
Australia,4,2,5,8,3,6,3
Pakistan,5,3,3,8,3,3,6
Sri Lanka,3,7,1,8,3,5,5
West Indies,4,5,2,5,6,4,4
Australia,4,2,5,6,5,6,3
Australia,4,3,4,7,4,7,3
Australia,4,3,4,8,3,6,4
New Zealand,4,3,4,6,5,5,6
Bangladesh,4,5,2,5,6,2,6
Bangladesh,5,3,3,4,7,3,5
Sri Lanka,3,6,2,8,3,5,6
Bangladesh,4,4,3,4,7,4,5
Sri Lanka,4,4,3,7,4,6,3
